ONC Code,Region_Name,Column2,Column3,Column4,Date,Column6,Parent_Code,Code_Type,DLUHC,Status,Column11,Column12,Column13,Column14
E06000001,Hartlepool,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000001,E06,DLUHC,live,9834.66,9371.26,0,9371.26
E06000002,Middlesbrough,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000001,E06,DLUHC,live,5455.37,5388.16,0,5388.16
E06000003,Redcar and Cleveland,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000001,E06,DLUHC,live,25378.57,24506.98,0,24506.98
E06000004,Stockton-on-Tees,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000001,E06,DLUHC,live,20973.09,20493.31,0,20493.31
E06000005,Darlington,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000001,E06,DLUHC,live,19747.58,19747.58,0,19747.58
E06000006,Halton,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000002,E06,DLUHC,live,9032.15,7908.39,0,7908.39
E06000007,Warrington,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000002,E06,DLUHC,live,18238.34,18062.79,0,18062.79
E06000008,Blackburn with Darwen,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000002,E06,DLUHC,live,13702.21,13702.21,0,13702.21
E06000009,Blackpool,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000002,E06,DLUHC,live,4315.08,3487.09,0,3487.09
E06000010,Kingston upon Hull, City of,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000003,E06,DLUHC,live,8149.74,7158.37,0,7158.37
E06000011,East Riding of Yorkshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000003,E06,DLUHC,live,249509.7,240499.54,116.96,240382.58
E06000012,North East Lincolnshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000003,E06,DLUHC,live,20266.26,19262.29,0,19262.29
E06000013,North Lincolnshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000003,E06,DLUHC,live,87568.45,84649.92,0,84649.92
E06000014,York,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000003,E06,DLUHC,live,27201.48,27193.7,0,27193.7
E06000015,Derby,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000004,E06,DLUHC,live,7803.11,7803.11,0,7803.11
E06000016,Leicester,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000004,E06,DLUHC,live,7334.21,7334.21,0,7334.21
E06000017,Rutland,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000004,E06,DLUHC,live,39374.9,39374.9,1191.77,38183.13
E06000018,Nottingham,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000004,E06,DLUHC,live,7461.32,7461.32,0,7461.32
E06000019,Herefordshire, County of,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000005,E06,DLUHC,live,217970.94,217970.94,0,217970.94
E06000020,Telford and Wrekin,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000005,E06,DLUHC,live,29031.37,29031.37,0,29031.37
E06000021,Stoke-on-Trent,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000005,E06,DLUHC,live,9344.85,9344.85,0,9344.85
E06000022,Bath and North East Somerset,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,35112.35,35112.35,524.49,34587.86
E06000023,Bristol, City of,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,23542.48,10969.99,0,10969.99
E06000024,North Somerset,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,39070.4,37460.51,88.76,37371.75
E06000025,South Gloucestershire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,53642.17,49703.57,0,49703.57
E06000026,Plymouth,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,8436.99,7984.97,0,7984.97
E06000027,Torbay,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,11946.65,6288.67,0,6288.67
E06000028,Bournemouth,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E12000009,E06,DLUHC,terminated,4716.82,4617.81,0,4617.81
E06000029,Poole,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E12000009,E06,DLUHC,terminated,7471.62,6476.78,0,6476.78
E06000030,Swindon,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000009,E06,DLUHC,live,23009.33,23009.33,0,23009.33
E06000031,Peterborough,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000006,E06,DLUHC,live,34343.79,34337.82,0,34337.82
E06000032,Luton,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000006,E06,DLUHC,live,4335.25,4335.25,0,4335.25
E06000033,Southend-on-Sea,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000006,E06,DLUHC,live,6786.41,4167.42,0,4167.42
E06000034,Thurrock,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000006,E06,DLUHC,live,18431.8,16383.71,0,16383.71
E06000035,Medway,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,26906.37,19371.42,0,19371.42
E06000036,Bracknell Forest,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,10938.43,10938.43,0,10938.43
E06000037,West Berkshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,70416.94,70416.94,0,70416.94
E06000038,Reading,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,4039.79,4039.79,0,4039.79
E06000039,Slough,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,3254.19,3254.19,0,3254.19
E06000040,Windsor and Maidenhead,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,19842.72,19842.72,192.55,19650.17
E06000041,Wokingham,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,17896.55,17896.55,0,17896.55
E06000042,Milton Keynes,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,30862.67,30862.67,0,30862.67
E06000043,Brighton and Hove,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,8538.6,8283.31,0,8283.31
E06000044,Portsmouth,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,6013.59,4039.12,0,4039.12
E06000045,Southampton,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,5638.53,4988.08,0,4988.08
E06000046,Isle of Wight,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E12000008,E06,DLUHC,live,39282.89,37961.47,0,37961.47
E06000047,County Durham,,493/2008,The County Durham (Structural Change) Order 2008,01/04/2009 00:00,,E12000001,E06,DLUHC,live,223261.15,223145.97,557.38,222588.59
E06000048,Northumberland,,494/2008,The Northumberland (Structural Change) Order 2008,01/04/2009 00:00,31/03/2013 00:00,E12000001,E06,DLUHC,terminated,507834.94,502608.89,1241.26,501367.63
E06000049,Cheshire East,,634/2008,The Cheshire (Structural Changes) Order 2008,01/04/2009 00:00,,E12000002,E06,DLUHC,live,116635.77,116635.77,0,116635.77
E06000050,Cheshire West and Chester,,634/2008,The Cheshire (Structural Changes) Order 2008,01/04/2009 00:00,,E12000002,E06,DLUHC,live,94120.7,92001.77,0,92001.77
E06000051,Shropshire,,492/2008,The Shropshire (Structural Change) Order 2008,01/04/2009 00:00,,E12000005,E06,DLUHC,live,319727.58,319727.58,0,319727.58
E06000052,Cornwall,,491/2008,The Cornwall (Structural Change) Order 2008,01/04/2009 00:00,,E12000009,E06,DLUHC,live,361205.97,354893.35,350.55,354542.8
E06000053,Isles of Scilly,,491/2008,The Cornwall (Structural Change) Order 2008,01/04/2009 00:00,,E12000009,E06,DLUHC,live,2284.95,1633.76,0,1633.76
E06000054,Wiltshire,,490/2008,The Wiltshire (Structural Change) Order 2008,01/04/2009 00:00,,E12000009,E06,DLUHC,live,325533.8,325533.8,0,325533.8
E06000055,Bedford,,907/2008,The Bedfordshire (Structural Changes) Order 2008,01/04/2009 00:00,,E12000006,E06,DLUHC,live,47640.82,47640.82,0,47640.82
E06000056,Central Bedfordshire,,907/2008,The Bedfordshire (Structural Changes) Order 2008,01/04/2009 00:00,,E12000006,E06,DLUHC,live,71566.57,71566.57,0,71566.57
E06000057,Northumberland,,595/2013,The Gateshead and Northumberland (Boundary Change) Order 2013,01/04/2013 00:00,,E12000001,E06,DLUHC,live,507747.57,503075.16,1241.25,501833.91
E06000058,Bournemouth, Christchurch and Poole,648/2018,The Bournemouth, Dorset and Poole (Structural Changes) Order 2018,01/04/2019 00:00,E12000009,E06,DLUHC,live,17393.22,16207.01,0,0
E06000059,Dorset,,648/2018,The Bournemouth, Dorset and Poole (Structural Changes) Order 2018,01/04/2019 00:00,E12000009,E06,DLUHC,live,252107.5,249095.69,0,0
E06000060,Buckinghamshire,,957/2019,The Buckinghamshire (Structural Changes) Order 2019,01/04/2020 00:00,,E12000008,E06,DLUHC,live,156493.77,156493.77,0,156493.77
E06000061,North Northamptonshire,,156/2020,The Northamptonshire (Structural Changes) Order 2020,01/04/2021 00:00,,E12000004,E06,DLUHC,live,98659.46,98659.46,0,98659.46
E06000062,West Northamptonshire,,156/2020,The Northamptonshire (Structural Changes) Order 2020,01/04/2021 00:00,,E12000004,E06,DLUHC,live,138039.58,138039.58,298.49,137741.09
E06000063,Cumberland,,331/2022,The Cumbria (Structural Changes) Order 2022,01/04/2023 00:00,,E12000002,E06,DLUHC,live,315297.6,303424.98,2203.13,301221.85
E06000064,Westmorland and Furness,,331/2022,The Cumbria (Structural Changes) Order 2022,01/04/2023 00:00,,E12000002,E06,DLUHC,live,403200.96,378927.78,3356.43,375571.35
E06000065,North Yorkshire,,328/2022,The North Yorkshire (Structural Changes) Order 2022,01/04/2023 00:00,,E12000003,E06,DLUHC,live,805231.26,804005.34,259.97,803745.37
E06000066,Somerset,,329/2022,The Somerset (Structural Changes) Order 2022,01/04/2023 00:00,,E12000009,E06,DLUHC,live,351489.53,345169.5,148.97,345020.53
E07000001,Mid Bedfordshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000001,E07,DLUHC,terminated,,,,
E07000002,Bedford,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000001,E07,DLUHC,terminated,,,,
E07000003,South Bedfordshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000001,E07,DLUHC,terminated,,,,
E07000004,Aylesbury Vale,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2020 00:00,E10000002,E07,DLUHC,terminated,90275.33,90275.33,0,90275.33
E07000005,Chiltern,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2020 00:00,E10000002,E07,DLUHC,terminated,19634.83,19634.83,0,19634.83
E07000006,South Bucks,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2020 00:00,E10000002,E07,DLUHC,terminated,14127.55,14127.55,0,14127.55
E07000007,Wycombe,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2020 00:00,E10000002,E07,DLUHC,terminated,32457.2,32457.2,0,32457.2
E07000008,Cambridge,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000003,E07,DLUHC,live,4069.87,4069.87,0,4069.87
E07000009,East Cambridgeshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000003,E07,DLUHC,live,65172.04,65128.6,0,65128.6
E07000010,Fenland,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000003,E07,DLUHC,live,54735.54,54645.02,0,54645.02
E07000011,Huntingdonshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000003,E07,DLUHC,live,91254.61,91245.55,627.95,90617.6
E07000012,South Cambridgeshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000003,E07,DLUHC,live,90168.73,90162.5,0,90162.5
E07000013,Chester,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000004,E07,DLUHC,terminated,,,,
E07000014,Congleton,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000004,E07,DLUHC,terminated,,,,
E07000015,Crewe and Nantwich,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000004,E07,DLUHC,terminated,,,,
E07000016,Ellesmere Port & Neston,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000004,E07,DLUHC,terminated,,,,
E07000017,Macclesfield,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000004,E07,DLUHC,terminated,,,,
E07000018,Vale Royal,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000004,E07,DLUHC,terminated,,,,
E07000019,Caradon,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000020,Carrick,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000021,Kerrier,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000022,North Cornwall,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000023,Penwith,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000024,Restormel,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000025,Isles of Scilly,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000005,E07,DLUHC,terminated,,,,
E07000026,Allerdale,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2023 00:00,E10000006,E07,DLUHC,terminated,131896.48,125829.17,1615.96,124213.21
E07000027,Barrow-in-Furness,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2023 00:00,E10000006,E07,DLUHC,terminated,13207.53,7789.71,0,7789.71
E07000028,Carlisle,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2023 00:00,E10000006,E07,DLUHC,terminated,105611.88,103830,0,103830
E07000029,Copeland,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2023 00:00,E10000006,E07,DLUHC,terminated,77571.76,73763.13,587.16,73175.97
E07000030,Eden,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2023 00:00,E10000006,E07,DLUHC,terminated,215647.46,215647.46,1410.35,214237.11
E07000031,South Lakeland,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2023 00:00,E10000006,E07,DLUHC,terminated,174341.33,155492.37,1946.09,153546.28
E07000032,Amber Valley,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,26543.79,26543.79,0,26543.79
E07000033,Bolsover,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,16033.47,16033.47,0,16033.47
E07000034,Chesterfield,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,6603.52,6603.52,0,6603.52
E07000035,Derbyshire Dales,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,79531.78,79531.78,289.37,79242.41
E07000036,Erewash,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,10963.01,10963.01,0,10963.01
E07000037,High Peak,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,54025.41,54025.41,111.08,53914.33
E07000038,North East Derbyshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,27562.34,27562.34,0,27562.34
E07000039,South Derbyshire,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000007,E07,DLUHC,live,33812.69,33812.69,0,33812.69
E07000040,East Devon,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,82267.56,81422.69,0,81422.69
E07000041,Exeter,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,4788.84,4703.31,0,4703.31
E07000042,Mid Devon,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,91289.78,91289.78,0,91289.78
E07000043,North Devon,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,110472.04,108585.76,0,108585.76
E07000044,South Hams,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,90520.09,88651.04,0,88651.04
E07000045,Teignbridge,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,68008.34,67377.08,0,67377.08
E07000046,Torridge,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,99520.34,98529.35,146.46,98382.89
E07000047,West Devon,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,,E10000008,E07,DLUHC,live,116471.75,116110.7,143.36,115967.34
E07000048,Christchurch,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E10000009,E07,DLUHC,terminated,5169.55,5037.58,0,5037.58
E07000049,East Dorset,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E10000009,E07,DLUHC,terminated,35441.79,35441.79,0,35441.79
E07000050,North Dorset,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E10000009,E07,DLUHC,terminated,60921.78,60921.78,0,60921.78
E07000051,Purbeck,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E10000009,E07,DLUHC,terminated,42758.38,40441.24,0,40441.24
E07000052,West Dorset,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E10000009,E07,DLUHC,terminated,108706.2,108152.83,0,108152.83
E07000053,Weymouth and Portland,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2019 00:00,E10000009,E07,DLUHC,terminated,4299.62,4177.81,0,4177.81
E07000054,Chester-le-Street,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000010,E07,DLUHC,terminated,,,,
E07000055,Derwentside,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000010,E07,DLUHC,terminated,,,,
E07000056,Durham,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000010,E07,DLUHC,terminated,,,,
E07000057,Easington,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000010,E07,DLUHC,terminated,,,,
E07000058,Sedgefield,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000010,E07,DLUHC,terminated,,,,
E07000059,Teesdale,,1111/1001,GSS re-coding strategy,01/01/2009 00:00,31/03/2009 00:00,E10000010,E07,DLUHC,terminated,,,,
