Site type,Year,Mean concentration of NO2 (µg/m3),CI,Lower Bound (95% confidence interval for 'All sites'),Upper Bound (95% confidence interval for 'All sites')
Rural Background,1997,17.686948278641417,15.836476796917623,1.850471481723794,33.52342507555904
Rural Background,1998,14.483484598987197,6.125076391884707,8.358408207102489,20.608560990871904
Rural Background,1999,15.95375626523822,14.936056850139842,1.0176994150983774,30.88981311537806
Rural Background,2000,13.971204076813233,4.934370488097564,9.03683358871567,18.905574564910797
Rural Background,2001,15.474708605302071,5.145206832999082,10.32950177230299,20.619915438301152
Rural Background,2002,12.934627025714967,4.987932701949087,7.94669432376588,17.922559727664055
Rural Background,2003,14.940280717671753,4.744292816747687,10.195987900924067,19.68457353441944
Rural Background,2004,11.213787242772915,3.030747838569511,8.183039404203404,14.244535081342425
Rural Background,2005,10.35510577701316,2.7192215859087514,7.635884191104408,13.074327362921911
Rural Background,2006,10.449308527586217,2.8752972691026897,7.574011258483527,13.324605796688907
Rural Background,2007,10.452094495261182,2.476688079328883,7.9754064159323,12.928782574590064
Rural Background,2008,8.953736454052322,2.154343993422902,6.79939246062942,11.108080447475224
Rural Background,2009,8.994046701274382,2.1497330465183087,6.844313654756073,11.14377974779269
Rural Background,2010,9.371706814173265,2.7144952515075342,6.657211562665731,12.0862020656808
Rural Background,2011,9.226400455880995,2.7272767062706302,6.499123749610365,11.953677162151624
Rural Background,2012,9.731611538932711,3.114814090690635,6.616797448242076,12.846425629623345
Rural Background,2013,8.675177715357249,2.89348929030135,5.781688425055899,11.568667005658599
Rural Background,2014,7.9799167962852975,2.5498597876575144,5.430057008627783,10.529776583942812
Rural Background,2015,7.038872606460024,2.388114727535061,4.6507578789249635,9.426987333995084
Rural Background,2016,8.671214983737393,2.463093039355791,6.2081219443816025,11.134308023093183
Rural Background,2017,7.583856868102635,2.4420960975174046,5.141760770585231,10.02595296562004
Rural Background,2018,7.157888036119297,2.0450861956891395,5.112801840430157,9.202974231808437
Rural Background,2019,7.1847242112056735,2.2473383493526877,4.937385861852986,9.43206256055836
Rural Background,2020,5.526065486394602,1.9096999608576242,3.6163655255369775,7.435765447252226
Rural Background,2021,5.758472264055988,1.8195043458709277,3.9389679181850603,7.577976609926916
Rural Background,2022,6.041750516591967,1.7262536652478262,4.3154968513441405,7.768004181839793
Rural Background,2023,5.1845492229323105,1.8737024489626575,3.310846773969653,7.058251671894968
Rural Background,2024,4.6715170878455945,1.5789542714620326,3.0925628163835617,6.250471359307627
Rural Background,2025,4.955676191834742,1.7784519380090462,3.1772242538256963,6.734128129843788
Urban Background,1990,53.79893864989998,13.870858024539638,39.928080625360344,67.66979667443962
Urban Background,1991,58.690954278388105,13.33657925504179,45.354375023346314,72.0275335334299
Urban Background,1992,59.75299844025324,8.059958077084122,51.69304036316912,67.81295651733737
Urban Background,1993,52.20461275626263,4.375017465516854,47.82959529074577,56.57963022177948
Urban Background,1994,49.036977077139085,3.611386536629817,45.42559054050927,52.6483636137689
Urban Background,1995,48.02974649415015,3.618984473191071,44.41076202095908,51.64873096734122
Urban Background,1996,47.37690937665374,3.202696339827851,44.17421303682589,50.579605716481595
Urban Background,1997,46.04241650984854,3.0102437855460464,43.0321727243025,49.05266029539459
Urban Background,1998,40.67055015715819,2.929733037721304,37.74081711943688,43.600283194879495
Urban Background,1999,39.70149469137918,3.0659350769474822,36.6355596144317,42.767429768326664
Urban Background,2000,35.87412260875327,2.6589582826093427,33.21516432614393,38.53308089136261
Urban Background,2001,35.670343829886534,2.319525631181793,33.350818198704744,37.989869461068324
Urban Background,2002,32.705882686112325,2.3493808943746584,30.356501791737667,35.05526358048699
Urban Background,2003,35.092444205612715,2.7296433896663235,32.36280081594639,37.82208759527904
Urban Background,2004,32.24445677140644,2.7747159132078356,29.469740858198605,35.019172684614276
Urban Background,2005,32.22305387381452,3.179781277150604,29.04327259666392,35.402835150965124
Urban Background,2006,31.666491071216587,3.16279175932246,28.503699311894128,34.82928283053905
Urban Background,2007,28.233062671137553,2.9380519912400427,25.29501067989751,31.171114662377597
Urban Background,2008,28.04246969442369,2.6960605141416947,25.346409180281995,30.738530208565386
Urban Background,2009,28.87578730080728,2.930472307531615,25.945314993275662,31.806259608338895
Urban Background,2010,31.093382293304032,3.406624974306304,27.686757318997728,34.500007267610336
Urban Background,2011,26.72221088641617,3.120358809016145,23.601852077400025,29.842569695432317
Urban Background,2012,26.579149117739533,3.142850062585563,23.43629905515397,29.721999180325096
Urban Background,2013,25.279715254256363,2.9619582167555407,22.317757037500822,28.241673471011904
Urban Background,2014,24.79922862605246,3.330192021272163,21.4690366047803,28.129420647324622
Urban Background,2015,22.892732058550518,2.7414443205524077,20.15128773799811,25.634176379102925
Urban Background,2016,23.32265939863937,2.6026020938382364,20.720057304801134,25.925261492477606
Urban Background,2017,21.74204695134224,2.535994766188442,19.206052185153798,24.27804171753068
Urban Background,2018,20.002379344452986,2.0854466640784364,17.91693268037455,22.087826008531422
Urban Background,2019,19.56350789426593,2.0622956024156656,17.501212291850262,21.625803496681595
Urban Background,2020,15.06691545274616,1.4679508339238088,13.598964618822352,16.53486628666997
Urban Background,2021,15.865568639017743,1.5586684794218182,14.306900159595925,17.42423711843956
Urban Background,2022,15.647309988897552,1.404311156498657,14.242998832398895,17.051621145396208
Urban Background,2023,14.256446636363387,1.2281269687914749,13.028319667571912,15.484573605154862
Urban Background,2024,13.127164238455524,1.195182575262882,11.931981663192643,14.322346813718406
Urban Background,2025,13.53506983415061,1.1138591341319173,12.421210700018692,14.648928968282528
Roadside,1997,59.71508818953606,9.117784773654726,50.597303415881335,68.8328729631908
Roadside,1998,59.019197854688905,9.18861985080471,49.8305780038842,68.20781770549361
Roadside,1999,61.81444003378047,8.149121991764488,53.66531804201598,69.96356202554496
Roadside,2000,57.2570242053674,8.084417914581994,49.17260629078541,65.34144211994939
Roadside,2001,54.310351840716756,6.868613377225077,47.44173846349168,61.17896521794183
Roadside,2002,49.40470162224479,7.618837913838522,41.78586370840627,57.023539536083305
Roadside,2003,54.823275609475495,9.971699525506581,44.851576083968915,64.79497513498208
Roadside,2004,52.182026244672656,9.043168633930431,43.13885761074222,61.22519487860309
Roadside,2005,53.620065492637714,9.24095865520151,44.379106837436204,62.861024147839224
Roadside,2006,54.20622552774155,10.006038305409328,44.200187222332225,64.21226383315089
Roadside,2007,52.73554113863269,10.644783387979205,42.09075775065349,63.38032452661189
Roadside,2008,49.87652951209842,9.214010934804534,40.66251857729389,59.090540446902956
Roadside,2009,45.79915120060413,8.02792725101922,37.77122394958491,53.82707845162335
Roadside,2010,46.227337333611956,7.305950172425328,38.92138716118663,53.53328750603728
Roadside,2011,41.16570887779084,7.054604836199681,34.11110404159116,48.22031371399052
Roadside,2012,41.440285255295684,6.794303051998464,34.64598220329722,48.234588307294146
Roadside,2013,38.88387951987189,6.265297433447632,32.618582086424254,45.149176953319525
Roadside,2014,38.360041029067965,7.073432480553231,31.286608548514735,45.433473509621194
Roadside,2015,36.54008902165922,5.15457991163909,31.38550911002013,41.69466893329831
Roadside,2016,37.647956433364065,4.227101277282904,33.42085515608116,41.87505771064697
Roadside,2017,33.67734589405281,3.340826551266136,30.336519342786676,37.018172445318946
Roadside,2018,32.79977395332849,3.200437361256607,29.599336592071882,36.000211314585094
Roadside,2019,31.0788203341777,2.6197395852343144,28.459080748943386,33.69855991941201
Roadside,2020,22.925543544155932,1.8665796906222556,21.058963853533676,24.792123234778188
Roadside,2021,24.75897554653201,2.0300239936235007,22.72895155290851,26.788999540155512
Roadside,2022,23.561710048178114,1.8340126793865414,21.72769736879157,25.395722727564657
Roadside,2023,21.964544700159323,1.8548496094550753,20.109695090704246,23.8193943096144
Roadside,2024,20.65519690147203,1.5649791799963173,19.090217721475714,22.22017608146835
Roadside,2025,20.388133406789507,1.549769587084883,18.838363819704625,21.93790299387439
